IDLAN,CODCFO,DATAEMISSAO,DATAVENCIMENTO,VALOR,PG
3269372,58085,2021-07-13,2021-08-12,696,158817
3405927,58087,2021-11-24,2021-12-24,4670,95749
3529200,80225,2022-03-23,2022-04-22,176,169864
3548927,44317,2022-04-07,2022-05-09,"351,3",92288
3742824,115947,2022-08-12,2022-09-12,1120,176082
3742834,115947,2022-08-12,2022-09-12,"444,8",176082
3808837,79344,2022-10-11,2022-11-10,"1033,6",169384
3831472,200717,2022-11-01,2022-12-01,"426,4",119141
3836820,70507,2022-11-08,2022-12-08,635,162379
3850563,341050,2022-11-23,2022-12-23,"56,63",265013
3899111,230094,2023-01-12,2023-02-13,"607,6",176821
3919456,219996,2023-01-25,2023-02-24,60,145825
3932428,338740,2023-02-02,2023-03-06,"734,5",263259
3970465,295821,2023-03-01,2023-03-31,1652,250045
3982204,220019,2023-03-08,2023-04-10,"989,13",145852
3991633,340897,2023-03-15,2023-04-14,"494,2",264901
4004203,81098,2023-03-24,2023-04-24,"78,5",172355
4006384,91857,2023-03-27,2023-04-26,8,176295
4055669,369385,2023-05-05,2023-06-05,85,280479
4074241,110525,2023-05-23,2023-06-22,"45,32",178656
4078554,367885,2023-05-25,2023-06-26,125,279455
4079099,55441,2023-05-26,2023-06-26,15,156681
4121060,46576,2023-06-22,2023-07-24,450,105727
4130770,347002,2023-06-30,2023-07-31,"268,9",268472
4169250,338785,2023-07-20,2023-08-21,"40,02",263292
4173912,53057,2023-07-25,2023-08-24,"124,76",96642
4176426,219996,2023-07-27,2023-08-28,5,145825
4215560,229431,2023-08-28,2023-09-27,"1492,6",172640
4215704,229431,2023-08-28,2023-09-27,"382,92",172640
4221297,331410,2023-09-01,2023-10-02,100,260353
4231498,91875,2023-09-13,2023-10-13,118,177191
4231336,109973,2023-09-13,2023-10-13,"307,85",181413
4252371,116319,2023-10-04,2023-11-03,"78,2",183980
4279845,60224,2023-10-30,2023-11-29,462,96236
4279850,72150,2023-10-30,2023-11-29,32,160991
4335636,357151,2023-12-15,2024-01-15,"562,8",274100
4533976,193741,2024-04-16,2024-05-16,7,110514
4621398,363211,2024-06-14,2024-07-15,"14,3",276740
4751905,409080,2024-09-09,2024-10-09,"239,4",305079
4839042,379427,2024-11-07,2024-12-09,7,285879
5028683,406886,2025-02-27,2025-03-31,"146,3",303863
5355358,453012,2025-10-09,2025-11-10,102,332540
5362396,330978,2025-10-14,2025-11-13,8,260058
5392793,430382,2025-11-04,2025-12-04,"56,8",317013
5392328,449595,2025-11-04,2025-12-04,394,329886
5435503,445703,2025-12-03,2026-01-02,243,327470
5438975,70507,2025-12-04,2026-01-05,476,162379
5453471,451898,2025-12-13,2026-01-12,139,331631
5542000,341472,2026-02-02,2026-03-04,318,265277
5541062,409075,2026-02-02,2026-03-04,30,305070
5708069,214908,2026-04-24,2026-05-25,10,137543
5729142,295645,2026-05-11,2026-06-10,10,252449
5805225,470151,2026-06-25,2026-07-27,"53,4",341836
5867074,455798,2026-07-30,2026-08-31,"210,9",333519
5949019,386279,2026-08-20,2026-09-21,100,290161
5968501,450648,2026-08-25,2026-09-24,198,330690
5968394,482124,2026-08-25,2026-09-24,"2144,76",350439
5970907,468473,2026-08-26,2026-09-25,500,340542
